lid	did	sample_id	animal_id	sex	birth_date	collection_date	extraction_date	age	batch
LID_103909	DID_1003644	PT201371	73Z	m	10/30/04	12/12/18	6/11/19	14.09706083	2
LID_104091	DID_1001392	NA	7D8	f	9/23/06	2/9/11	2/10/11	4.374572796	2
LID_105492	DID_1003635	PT204992	7O3	m	10/9/12	12/3/18	6/11/19	6.140806562	2
LID_105497	DID_1003652	PT205961	7Q3	f	8/21/13	11/30/18	6/11/19	5.268626111	2
LID_101429	DID_1001608	NA	81I	F	12/25/97	1/30/12	1/30/12	14.07792208	1
LID_105496	DID_1003640	PT208475	8B3	m	10/26/05	11/29/18	6/11/19	13.07450444	2
LID_103915	DID_1003650	PT202238	8C9	m	10/29/06	12/11/18	6/11/19	12.101162	2
LID_105494	DID_1003638	PT207205	8U4	f	7/15/14	12/13/18	6/11/19	4.407382092	2
LID_103868	DID_1003600	PT100859	94O	m	12/18/00	10/25/16	6/10/19	15.8304853	2
LID_104000	DID_1003525	PT101465	94S	f	11/17/02	10/28/16	6/5/19	13.92754614	2
LID_105485	DID_1003585	PT102077	9I5	f	11/11/09	11/1/16	6/10/19	6.963773069	2
LID_105474	DID_1003561	PT104576	9P5	f	8/6/12	12/1/16	6/6/19	4.31442242	2
LID_105487	DID_1003616	PT108052	I174L8	m	7/26/16	10/21/16	6/11/19	0.237867396	2
LID_105484	DID_1003584	PT101414	I1765Z	f	6/29/16	10/28/16	6/10/19	0.330827068	2
LID_105482	DID_1003581	PT101516	I1794S	f	7/3/16	10/28/16	6/10/19	0.319890636	2
LID_103907	DID_1003642	PT211280	I193F7	m	8/17/18	11/30/18	6/11/19	0.28708134	2
LID_105504	DID_1003688	PT211484	I194M9	m	5/29/18	12/5/18	6/13/19	0.519480519	2
LID_105499	DID_1003662	PT211637	I1951V	m	8/7/18	12/6/18	6/13/19	0.330827068	2
LID_101336	DID_1001155	NA	94H	M	1/16/98	1/18/12	1/18/12	13.98496241	1
LID_101337	DID_1001156	NA	O52	F	1/16/88	1/15/14	1/15/14	25.96308954	1
LID_101338	DID_1001158	NA	00O	F	12/1/99	1/28/14	1/28/14	14.14080656	1
LID_101339	DID_1001159	NA	52Z	F	10/24/04	2/28/12	2/29/12	7.335611757	1
LID_101341	DID_1001161	NA	6F2	F	9/27/07	1/30/12	1/30/12	4.336295284	1
LID_101342	DID_1001166	NA	9E6	M	10/15/07	12/18/12	12/19/12	5.170198223	1
LID_101343	DID_1001167	NA	52P	F	12/17/00	3/14/12	3/14/12	11.22351333	1
LID_101344	DID_1001169	NA	1A6	M	10/21/04	2/9/12	2/10/12	7.291866029	1
LID_101346	DID_1001171	NA	47Z	F	10/8/04	2/4/14	2/4/14	9.312371839	1
LID_101347	DID_1001172	NA	2A5	F	1/1/05	3/13/12	3/13/12	7.185235817	1
LID_101348	DID_1001173	NA	49V	F	11/15/03	2/29/12	3/1/12	8.278879016	1
LID_101349	DID_1001174	NA	53E	F	2/12/96	1/19/12	1/19/12	15.91250854	1
LID_101350	DID_1001175	NA	43N	M	11/11/99	1/26/12	1/26/12	12.19138756	1
LID_101351	DID_1001176	NA	64D	F	4/8/95	1/15/14	1/15/14	18.74777854	1
LID_101352	DID_1001178	NA	7F5	M	11/11/07	12/4/12	12/4/12	5.058099795	1
LID_101355	DID_1001182	NA	0I5	F	10/8/08	12/18/12	12/18/12	4.188653452	1
LID_101356	DID_1001183	NA	22R	M	10/27/01	2/7/12	2/7/12	10.26657553	1
LID_101357	DID_1001184	NA	8D6	M	10/19/06	1/30/12	1/30/12	5.274094327	1
LID_101358	DID_1001185	NA	20S	F	11/29/01	2/2/12	2/2/12	10.16267943	1
LID_101359	DID_1001186	NA	24V	F	12/9/03	3/5/12	3/6/12	8.226930964	1
LID_101360	DID_1001188	NA	2C9	M	10/25/05	1/26/12	1/26/12	6.244702666	1
LID_101362	DID_1001190	NA	9E8	F	1/24/08	12/1/14	12/4/14	6.843472317	1
LID_101363	DID_1001191	NA	8C0	M	10/12/06	1/30/12	1/30/12	5.293233083	1
LID_101364	DID_1001192	NA	T84	F	2/20/90	1/14/14	1/14/14	23.86602871	1
LID_101365	DID_1001193	NA	56K	M	1/8/99	1/30/14	1/30/14	15.04032809	1
LID_101366	DID_1001194	NA	51V	F	10/29/03	12/10/12	12/10/12	9.104579631	1
LID_101367	DID_1001195	NA	12Z	M	12/3/03	3/13/12	3/13/12	8.265208476	1
LID_101368	DID_1001196	NA	31S	M	12/5/01	2/7/12	2/7/12	10.15994532	1
LID_101369	DID_1001197	NA	85B	M	12/11/93	1/17/12	1/18/12	18.07518797	1
LID_101370	DID_1001198	NA	0G9	M	11/9/08	12/11/12	12/11/12	4.08202324	1
LID_101371	DID_1001199	NA	88N	F	2/25/00	1/26/12	1/26/12	11.90157211	1
LID_101372	DID_1001200	NA	57T	F	11/5/02	1/31/12	2/1/12	9.224880383	1
LID_101373	DID_1001201	NA	35N	F	1/1/00	1/27/14	1/27/14	14.05331511	1
LID_101374	DID_1001202	NA	0B6	F	11/29/04	2/6/12	2/6/12	7.177033493	1
LID_101375	DID_1001203	NA	96Z	M	11/20/04	11/28/12	11/29/12	8.010936432	1
LID_101376	DID_1001204	NA	4A9	F	12/31/04	1/26/12	1/27/12	7.059466849	1
LID_101377	DID_1001205	NA	19A	F	3/1/92	1/15/14	1/15/14	21.8455229	1
LID_101378	DID_1001206	NA	62V	F	12/4/03	2/7/12	2/9/12	8.166780588	1
LID_101379	DID_1001207	NA	6D6	F	10/26/06	12/12/12	12/13/12	6.121667806	1
LID_101380	DID_1001208	NA	5E8	F	1/15/08	2/6/14	2/6/14	6.053315106	1
LID_101381	DID_1001209	NA	86Z	F	10/19/04	2/27/12	2/28/12	7.346548189	1
LID_101382	DID_1001210	NA	82A	F	1/29/93	2/4/13	2/4/13	19.98906357	1
LID_101383	DID_1001211	NA	2D5	M	10/27/06	12/12/12	12/12/12	6.118933698	1
LID_101384	DID_1001213	NA	3C3	F	10/30/05	2/10/14	2/10/14	8.270676692	1
LID_101385	DID_1001214	NA	2A2	F	11/28/04	2/2/12	2/2/12	7.168831169	1
LID_101386	DID_1001215	NA	2F9	M	12/21/07	12/12/12	12/13/12	4.970608339	1
LID_101387	DID_1001216	NA	24B	F	1/8/93	1/27/14	1/27/14	21.02255639	1
LID_101388	DID_1001217	NA	29B	F	1/8/93	2/5/14	2/5/14	21.04716336	1
LID_101389	DID_1001218	NA	9H7	F	10/10/08	12/18/12	12/18/12	4.183185236	1
LID_101390	DID_1001219	NA	1E5	M	10/29/06	12/3/12	12/3/12	6.08885851	1
LID_101391	DID_1001220	NA	7F0	F	9/24/07	11/27/12	11/28/12	5.170198223	1
LID_101392	DID_1001221	NA	88T	M	12/4/03	1/23/12	1/23/12	8.125768968	1
LID_101393	DID_1001222	NA	48V	F	12/2/03	2/11/14	2/11/14	10.18181818	1
LID_101394	DID_1001223	NA	77I	M	1/13/98	2/10/14	2/11/14	16.05468216	1
LID_101395	DID_1001224	NA	81O	M	11/13/00	3/1/12	3/2/12	11.2809296	1
LID_101396	DID_1001225	NA	98T	F	1/12/04	1/14/14	1/14/14	9.99316473	1
LID_101397	DID_1001226	NA	56E	F	2/4/96	12/4/13	12/5/13	17.80724539	1
LID_101399	DID_1001229	NA	6D9	F	11/2/06	1/17/13	1/17/13	6.200956938	1
LID_101400	DID_1001230	NA	3E2	F	10/16/06	2/6/12	2/6/12	5.301435407	1
LID_101401	DID_1001231	NA	85T	F	10/31/03	1/30/12	1/30/12	8.237867396	1
LID_101402	DID_1001232	NA	6D4	F	10/14/06	11/27/12	11/27/12	6.113465482	1
LID_101403	DID_1001233	NA	6C2	F	10/6/05	3/1/12	3/2/12	6.392344498	1
LID_101404	DID_1001234	NA	4G8	M	10/10/08	1/16/13	1/16/13	4.262474368	1
LID_101405	DID_1001235	NA	4C5	F	12/14/05	1/22/13	1/22/13	7.097744361	1
LID_101406	DID_1001237	NA	6B2	M	10/22/05	1/19/12	1/19/12	6.233766234	1
LID_101407	DID_1001238	NA	96B	M	1/6/94	12/17/12	12/18/12	18.92002734	1
LID_101408	DID_1001239	NA	25L	M	1/8/00	2/9/12	2/10/12	12.07108681	1
LID_101409	DID_1001240	NA	7C0	F	11/22/05	1/30/12	1/30/12	6.179084074	1
LID_101410	DID_1001241	NA	64P	F	12/11/00	2/3/14	2/4/14	13.1291866	1
LID_101411	DID_1001242	NA	9E3	M	11/27/07	12/3/12	12/4/12	5.011619959	1
LID_101413	DID_1001244	NA	0C6	F	12/20/05	2/5/14	2/5/14	8.117566644	1
LID_101414	DID_1001245	NA	40L	F	12/26/99	2/4/14	2/4/14	14.09159262	1
LID_101415	DID_1001246	NA	42L	F	12/30/99	2/4/14	2/4/14	14.08065619	1
LID_101416	DID_1001247	NA	37V	F	11/15/03	2/7/12	2/7/12	8.21872864	1
LID_101417	DID_1001248	NA	5E1	M	9/14/07	11/27/12	11/28/12	5.197539303	1
LID_101418	DID_1001249	NA	1C0	F	11/21/05	1/21/14	1/21/14	8.155844156	1
LID_101419	DID_1001250	NA	2C3	F	11/10/05	3/6/12	3/6/12	6.310321258	1
LID_101420	DID_1001251	NA	34P	M	12/26/00	1/19/12	1/20/12	11.04853042	1
LID_101423	DID_1001257	NA	2C4	F	11/6/05	1/23/12	1/23/12	6.203691046	1
LID_101424	DID_1001258	NA	9H9	F	9/13/08	1/16/13	1/16/13	4.336295284	1
LID_101425	DID_1001259	NA	9C2	F	10/25/06	1/19/12	1/19/12	5.227614491	1
LID_101426	DID_1001335	NA	20F	F	2/9/96	2/7/11	2/7/11	14.9747095	1
LID_101427	DID_1001352	NA	07D	M	1/4/95	2/6/12	2/6/12	17.06630212	1
LID_101428	DID_1001363	NA	60E	M	2/9/96	2/24/11	2/24/11	15.02118934	1
LID_101430	DID_1001632	NA	46N	M	11/12/99	2/13/12	2/15/12	12.2378674	1
LID_101431	DID_1001633	NA	17C	F	2/5/94	2/15/12	2/16/12	18.00136705	1
LID_101432	DID_1001642	NA	X44	F	3/4/91	2/16/12	2/16/12	20.92686261	1
LID_101433	DID_1001901	NA	17L	M	2/28/99	12/9/14	12/10/14	15.75666439	1
LID_101434	DID_1001906	NA	K00	F	2/17/86	1/22/14	1/22/14	27.89063568	1
LID_101435	DID_1001934	NA	17K	M	11/20/98	2/12/14	2/13/14	15.20984279	1
LID_101436	DID_1001963	NA	78I	F	12/15/97	11/9/15	11/9/15	17.87559809	1
LID_101437	DID_1001991	NA	28B	M	1/20/93	11/5/15	11/5/15	22.75871497	1
LID_101438	DID_1002009	NA	30C	M	1/21/94	10/20/15	10/20/15	21.71428571	1
LID_101439	DID_1002067	NA	43F	F	1/11/96	11/30/15	12/1/15	19.85782638	1
LID_101440	DID_1002083	NA	04I	M	12/9/97	11/17/15	11/17/15	17.9138756	1
LID_103815	DID_1003513	PT102179	2S8	f	8/25/13	12/13/16	6/5/19	3.297334245	2
LID_103819	DID_1003517	PT104015	6B4	f	10/11/05	12/12/16	6/5/19	11.15516063	2
LID_103821	DID_1003519	PT104423	80S	f	11/12/02	12/19/16	6/5/19	14.08339029	2
LID_103822	DID_1003520	PT105086	I176B4	m	9/28/16	12/12/16	6/5/19	0.2050581	2
LID_103823	DID_1003521	PT108006	0V5	f	7/29/15	10/18/16	6/5/19	1.222146275	2
LID_103829	DID_1003528	PT100253	3L6	m	10/8/10	10/26/16	6/5/19	6.042378674	2
LID_103830	DID_1003529	PT104474	8E2	f	10/9/07	11/17/16	6/5/19	9.096377307	2
LID_103831	DID_1003559	PT100202	4J0	m	9/2/09	10/24/16	6/6/19	7.133287765	2
LID_103834	DID_1003562	PT100100	1R2	m	8/25/13	10/21/16	6/7/19	3.152426521	2
LID_103837	DID_1003566	PT104168	77S	f	1/18/03	12/1/16	6/7/19	13.85099111	2
LID_103838	DID_1003567	PT100049	9N0	f	9/4/11	10/21/16	6/7/19	5.123718387	2
LID_103840	DID_1003569	PT103658	4S0	f	11/11/13	12/12/16	6/7/19	3.081339713	2
LID_103842	DID_1003571	PT105902	I172E9	m	11/7/16	12/19/16	6/7/19	0.114832536	2
LID_103844	DID_1003573	PT108034	6I4	m	10/1/09	10/20/16	6/7/19	7.043062201	2
LID_103845	DID_1003574	PT102536	0B9	f	11/2/04	12/14/16	6/10/19	12.09842789	2
LID_103846	DID_1003575	PT103607	4N8	m	8/13/11	12/8/16	6/10/19	5.315105947	2
LID_103847	DID_1003576	PT101975	16S	f	11/6/01	12/19/16	6/10/19	15.09774436	2
LID_103848	DID_1003577	PT101261	55R	f	11/8/01	10/28/16	6/10/19	14.95010253	2
LID_103850	DID_1003579	PT104160	I174J3	m	7/18/16	12/8/16	6/10/19	0.390977444	2
LID_103854	DID_1003583	PT108012	3P2	m	10/10/12	10/20/16	6/10/19	4.021872864	2
LID_103857	DID_1003586	PT100355	03Z	f	1/13/04	10/26/16	6/10/19	12.76828435	2
LID_103858	DID_1003587	PT102383	5H7	m	10/5/08	12/13/16	6/10/19	8.17771702	2
LID_103860	DID_1003589	PT104321	7L7	f	10/27/10	12/15/16	6/10/19	6.127136022	2
LID_103859	DID_1003588	PT105341	I177L7	m	7/12/16	12/15/16	6/10/19	0.426520848	2
LID_103861	DID_1003590	PT100907	I1703Z	f	8/14/16	10/25/16	6/10/19	0.196855776	2
LID_103862	DID_1003591	PT100406	22H	f	12/4/96	10/24/16	6/10/19	19.86056049	2
LID_103863	DID_1003592	PT102026	5R9	m	8/24/13	11/1/16	6/10/19	3.185235817	2
LID_103864	DID_1003593	PT102587	0G3	f	10/27/07	12/1/16	6/10/19	9.085440875	2
LID_103865	DID_1003595	PT103964	5P6	f	10/11/12	12/8/16	6/10/19	4.153110048	2
LID_103866	DID_1003596	PT104678	I1748V	f	8/11/16	11/16/16	6/10/19	0.265208476	2
LID_103867	DID_1003597	PT100457	3L5	m	12/4/10	10/24/16	6/10/19	5.881066302	2
LID_103869	DID_1003601	PT102230	9C6	m	10/12/06	12/13/16	6/10/19	10.15721121	2
LID_103870	DID_1003602	PT100811	9I7	f	11/18/09	10/26/16	6/10/19	6.928229665	2
LID_103871	DID_1003603	PT102332	I1762S	m	7/21/16	11/2/16	6/10/19	0.284347232	2
LID_103872	DID_1003604	PT105188	I1777S	m	9/6/16	12/1/16	6/10/19	0.235133288	2
LID_103875	DID_1003607	PT102740	2C7	f	9/26/05	12/8/16	6/10/19	11.18523582	2
LID_103876	DID_1003608	PT101669	2Q0	f	8/19/13	11/1/16	6/10/19	3.198906357	2
LID_103877	DID_1003609	PT102281	62S	f	1/7/03	11/2/16	6/10/19	13.80177717	2
LID_103878	DID_1003610	PT104780	I174J6	m	7/15/16	11/16/16	6/10/19	0.339029392	2
LID_103879	DID_1003611	PT102995	2S6	m	10/1/13	12/1/16	6/10/19	3.163362953	2
LID_103880	DID_1003612	PT100955	5N1	f	9/24/11	10/21/16	6/11/19	5.069036227	2
LID_103881	DID_1003614	PT100955	I173N4	m	7/22/16	10/25/16	6/11/19	0.25974026	2
LID_103882	DID_1003615	PT101057	4I9	f	10/12/09	10/27/16	6/11/19	7.032125769	2
LID_103884	DID_1003617	PT101771	41N	m	2/4/00	10/31/16	6/11/19	16.7163363	2
LID_103885	DID_1003618	PT101006	4C6	m	1/26/06	10/27/16	6/11/19	10.73684211	2
LID_103886	DID_1003619	PT108026	4N5	f	9/14/11	10/20/16	6/11/19	5.093643199	2
LID_103887	DID_1003620	PT103709	4S3	f	10/5/13	12/8/16	6/11/19	3.171565277	2
LID_103888	DID_1003621	PT104525	8K7	f	10/5/10	12/2/16	6/11/19	6.151742994	2
LID_103890	DID_1003623	PT103556	4J6	f	9/23/09	11/16/16	6/11/19	7.138755981	2
LID_103894	DID_1003627	PT203819	2M4	m	10/4/11	12/12/18	6/11/19	7.179767601	2
LID_103895	DID_1003630	PT211433	I194F1	f	8/4/18	12/4/18	6/11/19	0.333561176	2
LID_103896	DID_1003631	PT211841	I196L1	m	8/16/18	12/12/18	6/11/19	0.322624744	2
LID_103898	DID_1003633	PT203105	9I8	f	9/1/09	12/13/18	6/11/19	9.268626111	2
LID_103899	DID_1003634	PT211229	I193F5	m	7/25/18	12/3/18	6/11/19	0.358168148	2
LID_103906	DID_1003641	PT203870	3M3	m	9/26/11	12/11/18	6/11/19	7.198906357	2
LID_103908	DID_1003643	PT212402	I199L9	m	9/9/18	12/11/18	6/11/19	0.254272044	2
LID_103910	DID_1003645	PT202391	3F7	f	10/1/07	11/30/18	6/11/19	11.14969241	2
LID_103912	DID_1003647	PT212249	I198L3	f	6/19/18	12/12/18	6/11/19	0.481203008	2
LID_103914	DID_1003649	PT203564	8L3	f	9/27/10	12/12/18	6/11/19	8.196855776	2
LID_103916	DID_1003651	PT212351	I199I8	m	6/25/18	12/13/18	6/11/19	0.467532468	2
LID_103920	DID_1003655	PT203411	6L1	f	9/9/10	12/12/18	6/13/19	8.24606972	2
LID_103923	DID_1003658	PT203615	9L9	f	10/27/10	12/11/18	6/13/19	8.112098428	2
LID_103924	DID_1003659	PT205043	8O9	f	8/14/12	12/11/18	6/13/19	6.315789474	2
LID_103925	DID_1003660	PT101720	3R3	f	8/13/13	10/31/16	6/13/19	3.212576897	2
LID_103929	DID_1003664	PT108028	4N7	m	9/9/11	10/20/16	6/13/19	5.107313739	2
LID_103930	DID_1003665	PT204482	1P4	f	8/13/12	12/18/18	6/13/19	6.337662338	2
LID_103931	DID_1003666	PT200504	76J	f	1/19/99	12/18/18	6/13/19	19.88516746	2
LID_103932	DID_1003667	PT101567	1G8	m	12/9/08	10/27/16	6/13/19	7.871496924	2
LID_103933	DID_1003668	PT100763	91O	m	12/14/00	10/24/16	6/13/19	15.83868763	2
LID_103934	DID_1003669	PT108046	9O0	m	10/21/12	10/20/16	6/13/19	3.991797676	2
LID_103935	DID_1003670	PT211025	I191P4	f	6/9/18	12/18/18	6/13/19	0.524948735	2
LID_103936	DID_1003671	PT108008	2Q2	f	8/19/13	10/19/16	6/13/19	3.163362953	2
LID_103937	DID_1003672	PT200708	93O	f	12/2/00	12/14/18	6/13/19	18.00683527	2
LID_103938	DID_1003673	PT202901	5J3	m	10/16/09	12/14/18	6/13/19	9.148325359	2
LID_103939	DID_1003674	PT203054	8I9	f	9/21/09	12/14/18	6/13/19	9.216678059	2
LID_103942	DID_1003677	PT201269	46Z	m	12/28/04	12/18/18	6/13/19	13.95215311	2
LID_103945	DID_1003680	PT203972	4M9	f	9/21/11	12/5/18	6/13/19	7.196172249	2
LID_103947	DID_1003682	PT203309	5K0	m	10/26/10	12/6/18	6/13/19	8.101161996	2
LID_103949	DID_1003684	PT207154	8T4	f	10/9/14	12/6/18	6/13/19	4.153110048	2
LID_103953	DID_1003689	PT208322	6S7	m	8/29/14	12/6/18	6/14/19	4.265208476	2
LID_103954	DID_1003690	PT203360	6K6	f	9/6/10	11/8/18	6/14/19	8.161312372	2
LID_103955	DID_1003691	PT211943	I197F0	m	9/9/18	12/6/18	6/14/19	0.240601504	2
LID_103956	DID_1003692	PT212484	9Q5	f	8/29/13	11/8/18	6/14/19	5.186602871	2
LID_103957	DID_1003693	PT206032	0T8	f	8/13/14	11/7/18	6/14/19	4.229665072	2
LID_103959	DID_1003695	PT207608	4L7	m	10/15/10	12/11/18	6/14/19	8.144907724	2
LID_103961	DID_1003697	PT208628	8S9	m	8/18/14	11/28/18	6/14/19	4.2734108	2
LID_103962	DID_1003698	PT201116	44V	f	2/13/04	11/27/18	6/14/19	14.76691729	2
LID_103963	DID_1003699	PT204686	3O3	m	9/18/12	11/29/18	6/14/19	6.187286398	2
LID_103964	DID_1003700	PT205655	3R9	f	9/13/13	11/28/18	6/14/19	5.200273411	2
LID_103966	DID_1003702	PT203513	6L4	m	9/17/10	11/29/18	6/14/19	8.188653452	2
LID_103968	DID_1003704	PT206899	6U6	f	8/29/14	11/28/18	6/14/19	4.243335612	2
LID_103969	DID_1003705	PT202952	7I8	f	9/3/09	11/29/18	6/14/19	9.224880383	2
LID_103971	DID_1003707	PT204329	1O9	f	10/5/12	11/28/18	6/14/19	6.138072454	2
LID_103972	DID_1003708	PT203462	6L3	m	9/27/10	11/8/18	6/14/19	8.103896104	2
LID_103973	DID_1003709	PT210923	I191L1	f	7/2/18	11/27/18	6/14/19	0.404647984	2
LID_103974	DID_1003710	PT207455	3T1	m	7/6/14	12/6/18	6/14/19	4.412850308	2
LID_103975	DID_1003711	PT211586	I194R4	m	7/15/18	11/9/18	6/14/19	0.319890636	2
LID_103976	DID_1003712	PT211331	I193Q3	f	6/16/18	11/28/18	6/14/19	0.45112782	2
LID_103977	DID_1003713	PT212198	I198I9	m	9/5/18	12/14/18	6/14/19	0.2734108	2
LID_103980	DID_1003716	PT211790	I196D6	m	7/12/18	12/18/18	6/14/19	0.434723172	2
LID_103981	DID_1003717	PT205706	4Q4	f	9/7/13	11/28/18	6/14/19	5.216678059	2
LID_103983	DID_1003720	PT203156	0L5	m	10/13/10	11/8/18	6/14/19	8.060150376	2
LID_103984	DID_1003721	PT207965	4T2	m	7/2/14	11/28/18	6/14/19	4.401913876	2
LID_103985	DID_1003722	PT208118	5S1	m	8/16/14	11/7/18	6/14/19	4.221462748	2
LID_103986	DID_1003723	PT204074	1C7	f	11/23/05	11/8/18	6/14/19	12.94053315	2
LID_103987	DID_1003724	PT207761	2K0	m	11/1/10	11/29/18	6/14/19	8.065618592	2
LID_103988	DID_1003725	PT203207	1L1	f	9/26/10	11/27/18	6/14/19	8.158578264	2
LID_103989	DID_1003726	PT204533	1P5	m	8/21/12	11/8/18	6/14/19	6.206425154	2
LID_103990	DID_1003727	PT207659	1J8	m	10/28/09	11/29/18	6/14/19	9.074504443	2
LID_103991	DID_1003728	PT205502	3Q3	f	8/19/13	11/28/18	6/14/19	5.268626111	2
LID_103992	DID_1003729	PT204941	6O7	f	10/27/12	11/7/18	6/14/19	6.02050581	2
LID_103993	DID_1003730	PT205808	4R4	f	9/2/13	11/9/18	6/14/19	5.178400547	2
LID_103994	DID_1003731	PT201575	98Z	m	11/21/04	12/14/18	6/14/19	14.04237867	2
LID_103995	DID_1003732	PT207557	42T	m	12/28/02	12/14/18	6/14/19	15.93984962	2
LID_103996	DID_1003733	PT208016	5I5	m	9/20/09	11/29/18	6/14/19	9.178400547	2
LID_103997	DID_1003734	PT208883	I191E2	m	7/31/18	11/27/18	6/14/19	0.325358852	2
LID_103998	DID_1003735	PT207812	2T2	m	10/6/14	11/7/18	6/14/19	4.08202324	2
LID_103999	DID_1003736	PT203003	5M5	f	9/1/11	11/8/18	6/14/19	7.177033493	2
LID_104002	DID_1001342	NA	31L	f	1/4/00	3/3/11	3/3/11	11.1442242	2
LID_104003	DID_1001371	NA	50I	f	12/11/97	2/7/11	2/7/11	13.14012303	2
LID_104004	DID_1001393	NA	6B0	f	11/7/05	2/8/11	2/9/11	5.246753247	2
LID_104005	DID_1001289	NA	45F	f	2/18/96	1/18/11	1/19/11	14.89542037	2
LID_104006	DID_1001300	NA	91V	f	12/8/03	1/24/11	1/25/11	7.119617225	2
LID_104008	DID_1001323	NA	48J	f	1/22/98	3/1/11	3/1/11	13.08544087	2
LID_104009	DID_1001558	NA	02F	m	2/28/96	1/20/10	1/20/10	13.87559809	2
LID_104010	DID_1001343	NA	34Z	f	2/27/04	3/2/11	3/3/11	6.999316473	2
LID_104011	DID_1001372	NA	87K	f	11/14/98	2/8/11	2/10/11	12.21872864	2
LID_104012	DID_1001395	NA	90B	m	11/16/93	2/8/11	2/9/11	17.20574163	2
LID_104014	DID_1001309	NA	5B4	f	10/18/05	2/1/11	2/1/11	5.282296651	2
LID_104015	DID_1001276	NA	F38	f	3/26/82	1/18/11	1/18/11	28.77648667	2
LID_104016	DID_1001341	NA	70C	m	1/24/94	3/1/11	3/1/11	17.07450444	2
LID_104017	DID_1001545	NA	75T	m	11/20/02	1/28/10	1/28/10	7.179767601	2
LID_104018	DID_1001344	NA	61D	m	3/11/95	3/7/11	3/7/11	15.9671907	2
LID_104020	DID_1001397	NA	14E	f	12/13/94	2/7/11	2/7/11	16.13123718	2
LID_104021	DID_1001307	NA	X17	f	1/29/91	1/19/11	1/19/11	19.94531784	2
LID_104022	DID_1001274	NA	3D3	m	10/8/06	1/18/11	1/19/11	4.2734108	2
LID_104023	DID_1001294	NA	21C	f	1/2/94	2/2/11	2/2/11	17.0608339	2
LID_104024	DID_1001485	NA	X80	m	1/15/91	1/26/10	1/27/10	19.00478469	2
LID_104025	DID_1001554	NA	6A1	m	12/12/04	1/26/10	1/27/10	5.115516063	2
LID_104026	DID_1001347	NA	15O	f	12/16/99	3/8/11	3/9/11	11.20984279	2
LID_104027	DID_1001378	NA	89N	m	11/4/99	2/22/11	2/23/11	11.28639781	2
LID_104028	DID_1001398	NA	54D	f	12/26/94	2/8/11	2/9/11	16.09842789	2
LID_104029	DID_1001316	NA	18I	m	2/13/98	1/25/11	1/26/11	12.92959672	2
LID_104030	DID_1001310	NA	90D	f	1/31/95	2/24/11	2/24/11	16.04374573	2
LID_104031	DID_1001312	NA	57H	f	2/22/97	1/18/11	1/18/11	13.88380041	2
LID_104032	DID_1001512	NA	30L	m	1/4/00	1/20/10	1/21/10	10.03144224	2
LID_104034	DID_1001348	NA	13B	f	1/11/93	3/7/11	3/7/11	18.12440191	2
